99;SECADOR LIZZE SUPREME 220V;url;29577;1
100;PRANCHA LIZZE 1 1/4 127V;url;28001;1
101;PRANCHA LIZZE EXTREME R 250 127V;url;29677;1
102;"PRANCHA LIZZE EXTREME R 250 220V	";url;29678;1
103;MAQUINA DE CORTAR CABELO LIZZE SUPREME;url;29667;1
104;PHOTON LIZZE SUPREME;url;29744;1
105;PHOTON LIZZE;url;29742;1
106;PHOTON LIZZE EXTREME;url;29743;1
107;PRANCHA LIZZE SUPREME 127V PET;url;28406;1
108;PRANCHA LIZZE SUPREME 220V PET;url;28407;1
109;PRANCHA LIZZE EXTREME C 250 127V ;url;29842;1
110;PRANCHA LIZZE EXTREME C 250 220V ;url;29843;1
111;PRANCHA LIZZE EXTREME C 220V;url;29855;1
112;PRANCHA LIZZE EXTREME C 127V;url;29853;1
113;SECADOR LIZZE EXTREME C 220V;url;29851;1
114;SECADOR LIZZE EXTREME C 127;url;29850;1
115;PRANCHA LIZZE EXTREME  C 250 127V;url;29841;1
116;SECADOR LIZZE EXTREME 220V;url;29698;1
117;SECADOR LIZZE EXTREME 127V;url;29697;1
118;PHOTON LIZZE;url;29927;1
119;PHOTON LIZZE EXTREME;url;29928;1
120;PHOTON LIZZE SUPREME RC;url;29929;1
121;SECADOR LIZZE EXTREME 220V R;url;29992;1
122;SECADOR LIZZE EXTREME 127V R;url;29991;1
123;PRANCHA LIZZE EXTREME 220V;url;29994;1
124;PRANCHA LIZZE EXTREME 220V;url;29997;1
125;PRANCHA LIZZE EXTREME SLIM 127V;url;29998;1
126;PRANCHA LIZZE EXTREME SLIM 220V;url;29999;1
127;SECADOR LIZZE EXTREME 127V;url;30003;1
128;SECADOR LIZZE EXTREME 220V;url;30004;1
129;MODELADOR EXTREME BIVOLT;url;29974;1
130;PHOTON LIZZE EXTREME S 127V ;url;29875;1
131;PRANCHA LIZZE FT EXT 250 127V;url;29490;1
132;MODELADOR LIZZE EXTREME BIVOLT;url;29974;1
133;PRANCHA LIZZE SUPREME 220V;url;30001;1
134;MODELADOR LIZZE EXTREME 220V;url;28963;1
135;PRANCHA LIZZE EXTREME SLIM 127V;url;29986;1
136;PRANCHA MINI LIZZE;url;30002;1
137;PRANCHA MINI LIZZE;url;30024;1
